mode,para_id,en,rep,matched,injected,term_hit,hit_form,decoy,followed_decoy
none,P001,hammerhead ribozyme,망치머리형리보자임,True,True,False,,,
none,P001,case-mix,질병구성,True,True,False,,,
none,P001,psgn,연쇄구균감염후 사구체신염,True,True,False,,,
none,P002,cheilosis,구순증,True,True,False,,,
none,P002,hippocampal sclerosis,해마경화(증),True,True,False,,,
none,P002,surgical staging,외과적시기결정,True,True,False,,,
none,P003,bidiscoidal placenta,두원반태반,True,True,False,,,
none,P003,reciprocal shaker,왕복진탕기,True,True,False,,,
none,P003,high quality-hcv ab,정밀면역검사-C형간염항체,True,True,False,,,
none,P004,orthognathic surgery,악교정수술,True,True,True,악교정수술,,
none,P004,meckel's diverticulectomy,멕켈 게실절제술,True,True,False,,,
none,P004,kub left lateral,"콩팥요관방광촬영, 왼쪽측방향",True,True,False,,,
none,P005,bacteriostasis,정균작용,True,True,True,정균작용,,
none,P005,gastroenteritis paratyphosa,파라티푸스위창자염,True,True,False,,,
none,P005,clean bench,무균실험대,True,True,False,,,
none,P006,mysophilia,불결기호증,True,True,False,,,
none,P006,bilateral palatine tonsils,양측 목구멍 편도,True,True,False,,,
none,P006,cryptococcal meningocerebritis,크립토콕쿠스수막대뇌염,True,True,False,,,
none,P007,sao paulo fever,상파울로열,True,True,False,,,
none,P007,meningoencephalocele,수막뇌류,True,True,False,,,
none,P007,involuntary,불수의-,True,True,False,,,
none,P008,third ventricle structure,제3뇌구조,True,True,False,,,
none,P008,suprameatal foveola,바깥귀길위오목,True,True,False,,,
none,P008,auriculotemporal nerve,귓바퀴관자신경,True,True,True,귓바퀴관자신경,,
none,P009,colpomyomectomy,질식근종절제(술),True,True,False,,,
none,P009,hapgok,합곡(合谷),True,True,False,,,
none,P009,altered uterine contractions,자궁수축 변화,True,True,False,,,
none,P010,sirenomelia syndrome,인어다리 증후군,True,True,False,,,
none,P010,upper extremity,위팔,True,True,True,상지,,
none,P010,proctoscope,직장경,True,True,True,직장경,,
none,P011,heredoinfection,유전감염,True,True,False,,,
none,P011,sideroblastic anaemia,철적혈모구빈혈,True,True,False,,,
none,P011,rash purpuric,자색반 발진,True,True,False,,,
none,P012,airborne infection,공기매개감염,True,True,False,,,
none,P012,epidermolysis bullosa dystrophica,디스트로피성 수포성 표피박리증,True,True,False,,,
none,P012,glutitis,볼기염,True,True,False,,,
none,P013,agenesis of lung,폐의 무발생,True,True,False,,,
none,P013,blood donation,헌혈,True,True,True,헌혈,,
none,P013,implosion,홍수(노출)요법,True,True,False,,,
none,P014,oncotaxonomy,종양분류법,True,True,False,,,
none,P014,topalgia,국소통증,True,True,True,국소통증,,
none,P014,negative pressure,음압,True,True,True,음압,,
none,P015,onychocryptosis,감입발톱,True,True,False,,,
none,P015,foraminal,그물막구멍,True,True,False,,,
none,P015,rotalix tube,회전양극관,True,True,False,,,
none,P016,superexcitation,과도흥분,True,True,True,과도흥분,,
none,P016,intermedia thalassaemia,중간형 지중해빈혈,True,True,True,중간형 지중해빈혈,,
none,P016,endaural,귀속-,True,True,False,,,
none,P017,multicystic renal dysplasia,다낭성 신장의 형성이상,True,True,False,,,
none,P017,cardioplegic,심장마비-,True,True,False,,,
none,P017,neurocanal,신경관,True,True,True,신경관,,
none,P018,epiplocele,대망탈장,True,True,False,,,
none,P018,naegleria fowleri,파울러자유아메바,True,True,False,,,
none,P018,diabetic coma,당뇨 혼수,True,True,False,,,
none,P019,retaining harness,장치유지,True,True,False,,,
none,P019,hemodynamometry,혈압측정(법),True,True,False,,,
none,P019,insular sclerosis,섬경화증,True,True,False,,,
none,P020,dental granuloma,뿌리끝육아종,True,True,False,,,
none,P020,exteroceptive stimulus,외수용자극,True,True,False,,,
none,P020,deshielded proton,미차폐양성자,True,True,False,,,
none,P021,school childhood,학령기,True,True,True,학령기,,
none,P021,dry weight,투석목표체중,True,True,False,,,
none,P021,myotonic disorders,근긴장장애,True,True,False,,,
