mode,para_id,en,rep,span,span_why,aligned_grade,aligned_level,aligned_hit,contains_hit,decoy,followed_decoy
none,P001,autoeroticism,자기성애,자기애적 행위,ok,오답,-,False,False,,
none,P001,combustion,화상,연소,ok,오답,-,False,False,,
none,P001,digit preference,끝수선호,수지 선호도,ok,오답,-,False,False,,
none,P002,fusiform layer,방추세포층,방추상층,ok,오답,-,False,False,,
none,P002,imitative attitude,모방태도,모방 태도,ok,정답(대표),variant,True,True,,
none,P002,hyeopgye,협계(俠谿),협계,ok,정답(대표),variant,True,False,,
none,P003,secretory cyst,분비체류성낭,분비성 낭종,ok,오답,-,False,False,,
none,P003,ricinism,리신증,리신 중독,ok,오답,-,False,True,,
none,P003,glaucomatous cataract,녹내장성백내장,녹내장성 백내장,ok,정답(대표),variant,True,True,,
none,P004,nodular sclerosis,결절경화,결절성 경화증,ok,오답,-,False,False,,
none,P004,cross-face,교차얼굴,교차 안면,ok,오답,-,False,False,,
none,P004,blind fistula,막힌샛길,막단 누공,ok,오답,-,False,False,,
none,P005,varicose vein stripping,정맥류 제거,정맥류 발거술,ok,오답,-,False,False,,
none,P005,rotalix tube,회전양극관,회전 양극관,ok,정답(대표),variant,True,True,,
none,P005,smith's fracture,스미드골절,스미스 골절,ok,정답(동의어),exact,True,True,,
none,P006,framework try-in,금속구조물 시적,프레임워크 시의,ok,오답,-,False,False,,
none,P006,parrot fever,앵무새열,앵무병,ok,오답,-,False,False,,
none,P006,frontal suture,이마봉합선,관상봉합,ok,오답,-,False,False,,
none,P007,binder,결합체,붕대,ok,오답,-,False,False,,
none,P007,water bath,욕조,수욕조,ok,정답(대표),partial,True,True,,
none,P007,torr,토르,torr,ok,오답,-,False,False,,
none,P008,cercosporomycosis,세르코스포라진균증,세르코스포로미코시스,ok,오답,-,False,False,,
none,P008,lipoid dermatoarthritis,리포이드피부관절염,유지 관절염,ok,오답,-,False,False,,
none,P008,fisher syndrome,피셔증후군,피셔 증후군,ok,정답(대표),variant,True,True,,
none,P009,benign familial hematuria,양성 가족성 혈뇨,양성 가족성 혈뇨,ok,정답(대표),exact,True,True,,
none,P009,marsupialization of cyst,낭종 주머니형성,낭종 유피술,ok,오답,-,False,False,,
none,P009,lumbosacral enlargement,요천부팽대,요천수 비대 부위,ok,오답,-,False,False,,
none,P010,retrocedent gout,내공성통풍,후퇴성 통풍,ok,오답,-,False,False,,
none,P010,hemianopsia,편측시야결손,편맹,ok,오답,-,False,False,,
none,P010,enteral feeding,위장관영양,장관 영양 공급,ok,오답,-,False,False,,
none,P011,ocular fundus,안저,안저,ok,정답(대표),exact,True,True,,
none,P011,condensed chromatin,농축염색질,응축된 염색질,ok,오답,-,False,False,,
none,P011,hemacytometry,혈구계수,혈구 계수,ok,정답(대표),variant,True,True,,
none,P012,cimex lectularius,빈대,침대벼룩,ok,오답,-,False,False,,
none,P012,vaginography,질조영(술),질조영술,ok,정답(대표),partial,True,False,,
none,P012,ear drum,고막,고막,ok,정답(대표),exact,True,True,,
