mode,en,rep,term,ko,grade,level,followed_decoy,decoy,issues,finish,sentence
none,root pain,신경뿌리통증,근통,의사의 문서에 근통이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned root pain.
none,plantar flexion,발바닥쪽 굽힘,저측 굴곡,의사의 문서에 저측 굴곡이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned plantar flexion.
none,metagonimus yokogawai,요코가와흡충,메타고니무스 요코가와이,의사의 문서에 메타고니무스 요코가와이가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned metagonimus yokogawai.
none,speech loss,언어 손실,언어 상실,의사의 문서에 언어 상실이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned speech loss.
none,syncytial,합포체-,융합체,의사의 문서에 융합체가 언급되었습니다.,정답(동의어),exact,,,[],stop,The doctor's document mentioned syncytial.
none,small-and light-for-dates,과소 및 과소체중아,소형 및 경량 출생아,보고서는 이 환자에서 소형 및 경량 출생아를 기록했습니다.,오답,-,,,[],stop,The report documented small-and light-for-dates in this patient.
none,lobectomy of lung,폐엽 절제,폐엽절제술,이 환자에서 폐엽절제술을 기록했다.,오답,-,,,[],stop,The report documented lobectomy of lung in this patient.
none,suprameatal foveola,바깥귀길위오목,상이개와(superameatal foveola),의사의 문서에 상이개와(superameatal foveola)가 언급되어 있었다.,오답,-,,,['bad_chars'],stop,The doctor's document mentioned suprameatal foveola.
none,phlebography,정맥조영(술),정맥조영술,이 환자에서 정맥조영술을 기록한 보고서가 있었다.,오답,-,,,[],stop,The report documented phlebography in this patient.
none,third ventricle structure,제3뇌구조,제3뇌실 구조,의사의 문서에 제3뇌실 구조가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned third ventricle structure.
none,bidiscoidal placenta,두원반태반,양반원형 태반,의사의 문서에 양반원형 태반이 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned bidiscoidal placenta.
none,centrolecithal,중심난황-,중심난황,의사의 문서는 중심난황을 언급했다.,오답,-,,,[],stop,The doctor's document mentioned centrolecithal.
none,auriscope,이경,이경,의사의 문서에 이경이 언급되었다.,정답(대표),exact,,,[],stop,The doctor's document mentioned auriscope.
none,rhinoantritis,코굴염,비강염,의사의 문서에 비강염이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned rhinoantritis.
none,lochioschesis,산후질분비물정체,오로 정체,의사의 문서에 오로 정체가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned lochioschesis.
none,cyematocardia,태아심음,자궁심장증,의사의 문서에 자궁심장증이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned cyematocardia.
none,cardiography,심장도검사,심전도 검사,의사의 문서가 심전도 검사를 언급했다.,오답,-,,,[],stop,The doctor's document mentioned cardiography.
none,postprocedural hypothyroidism,처치후 갑상선기능저하증,시술 후 갑상선기능저하증,보고서는 이 환자에게 시술 후 갑상선기능저하증을 기록했습니다.,오답,-,,,[],stop,The report documented postprocedural hypothyroidism in this patient.
none,paramyxoviridae infection,파라믹소바이러스 감염,파라믹소바이러스과 감염,이 보고서는 이 환자에서 파라믹소바이러스과 감염을 기록했습니다.,오답,-,,,[],stop,The report documented paramyxoviridae infection in this patient.
none,hepaticostomy,간관루설치(술),간담루,의사의 문서에 간담루가 언급되었다.,오답,-,,,[],stop,The doctor's document mentioned hepaticostomy.
none,window defect,창문비침,창문 결함,의사의 문서에 창문 결함이 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned window defect.
none,vasa previa,전치 맥관,전치혈관,이 환자의 보고서에는 전치혈관이 기재되어 있습니다.,오답,-,,,[],stop,The report documented vasa previa in this patient.
none,working length distance,근관장측정검사,근무 길이 거리,의사의 문서에 근무 길이 거리가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned working length distance.
none,prolinase,프롤린효소,프롤리나제,의사의 문서에 프롤리나제가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned prolinase.
none,suture thread,봉합사,봉합사,의사의 문서에 봉합사가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned suture thread.
none,urethrocutaneous fistula,요도피부샛길,요도피부루,이 환자의 요도피부루를 보고서에 기록했다.,정답(동의어),nospace,,,[],stop,The report documented urethrocutaneous fistula in this patient.
none,sign,징후,징후,의사의 문서에 징후가 언급되었습니다.,정답(대표),exact,,,[],stop,The doctor's document mentioned sign.
none,a/s posterior capsulo-labroplasty,관절경 후방 피막테두리성형술,전방/후방 후방 관절낭-순성형술,보고서는 이 환자에서 전방/후방 후방 관절낭-순성형술을 문서화했습니다.,오답,-,,,[],stop,The report documented a/s posterior capsulo-labroplasty in this patient.
none,periarthritis of wrist,손목의 관절주위염,손목 주위염,보고서는 이 환자의 손목 주위염을 문서화했습니다.,오답,-,,,[],stop,The report documented periarthritis of wrist in this patient.
none,metarubricyte,후적혈구,후적혈구,의사의 문서는 후적혈구를 언급했다.,정답(대표),exact,,,[],stop,The doctor's document mentioned metarubricyte.
none,soryo,소료(素髎),소료,의사의 문서에 소료가 언급되었습니다.,오답,-,,,[],stop,The doctor's document mentioned soryo.
none,abrasion of flank,옆구리 찰과상,측복부 찰과상,보고서는 이 환자의 측복부 찰과상을 기록했다.,오답,-,,,[],stop,The report documented abrasion of flank in this patient.
none,scintillating hemianopia,섬광반맹,섬광성 반맹증,의사의 문서에는 섬광성 반맹증이 언급되어 있었다.,오답,-,,,[],stop,The doctor's document mentioned scintillating hemianopia.
none,chromophilic cell,호색소세포,호염색성 세포,의사의 문서는 호염색성 세포를 언급했다.,오답,-,,,[],stop,The doctor's document mentioned chromophilic cell.
