arm,en,pred,rep,grade,level,kcd,words,issues,finish
1c,root pain,신경근통,신경뿌리통증,오답,-,,2,[],stop
1c,plantar flexion,저측 굴곡,발바닥쪽 굽힘,오답,-,,2,[],stop
1c,metagonimus yokogawai,요코가와 메토고니무스,요코가와흡충,오답,-,,2,[],stop
1c,speech loss,실어증,언어 손실,오답,-,,2,[],stop
1c,syncytial,융합체,합포체-,정답(동의어),exact,,1,[],stop
1c,small-and light-for-dates,상외이와,과소 및 과소체중아,오답,-,P05.1,2,[],stop
1c,lobectomy of lung,폐엽절제술,폐엽 절제,오답,-,,3,[],stop
1c,suprameatal foveola,상이와와,바깥귀길위오목,오답,-,,2,[],stop
1c,phlebography,정맥조영술,정맥조영(술),오답,-,,1,[],stop
1c,third ventricle structure,제3뇌실 구조,제3뇌구조,오답,-,,3,[],stop
1c,bidiscoidal placenta,이원반성 태반,두원반태반,오답,-,,2,[],stop
1c,centrolecithal,중앙난황,중심난황-,오답,-,,1,[],stop
1c,auriscope,이경,이경,정답(대표),exact,,1,[],stop
1c,rhinoantritis,비강상악동염,코굴염,오답,-,,1,[],stop
1c,lochioschesis,소형아,산후질분비물정체,오답,-,,1,[],stop
1c,cyematocardia,자궁내막심장증,태아심음,오답,-,,1,[],stop
1c,cardiography,심장기록법,심장도검사,오답,-,,1,[],stop
1c,postprocedural hypothyroidism,시술 후 갑상선기능저하증,처치후 갑상선기능저하증,오답,-,E89.0,2,[],stop
1c,paramyxoviridae infection,파라믹소바이러스과 감염,파라믹소바이러스 감염,오답,-,B33.8,2,[],stop
1c,hepaticostomy,간관조루술,간관루설치(술),오답,-,,1,[],stop
1c,window defect,창결송,창문비침,오답,-,,2,[],stop
1c,vasa previa,전치혈관,전치 맥관,오답,-,P02.6,2,[],stop
1c,working length distance,근로길이 거리,근관장측정검사,오답,-,,3,[],stop
1c,prolinase,프롤리나아제,프롤린효소,오답,-,,1,[],stop
1c,suture thread,봉합사,봉합사,정답(대표),exact,,2,[],stop
1c,urethrocutaneous fistula,요도피부루,요도피부샛길,정답(동의어),nospace,N36.0,2,[],stop
1c,sign,징후,징후,정답(대표),exact,,1,[],stop
1c,a/s posterior capsulo-labroplasty,후방 관절낭술판복원술,관절경 후방 피막테두리성형술,오답,-,,3,[],stop
1c,periarthritis of wrist,손목관절주위염,손목의 관절주위염,오답,-,M77.2,3,[],stop
1c,metarubricyte,후적혈구,후적혈구,정답(대표),exact,,1,[],stop
1c,soryo,소료,소료(素髎),오답,-,,1,[],stop
1c,abrasion of flank,측부 찰과상,옆구리 찰과상,오답,-,S30.8,3,[],stop
1c,scintillating hemianopia,섬광 반맹,섬광반맹,정답(대표),nospace,,2,[],stop
1c,chromophilic cell,호염색세포,호색소세포,오답,-,,2,[],stop
1c,infantile automatism,영아 자동증,젖먹이자동증,오답,-,,2,[],stop
1c,oath of hippocrates,히포크라테스 선서,히포크라테스선서,정답(대표),nospace,,3,[],stop
1c,pubocapsular,치골관절낭의,두덩관절피막-,오답,-,,1,[],stop
1c,hemopleuropneumonic syndrome,혈흉막폐렴 증후군,혈액가슴막폐렴증후군,오답,-,,2,[],stop
1c,rotational irradiation coach,회전 조사 코치,회전방사선치료대,오답,-,,3,[],stop
1c,airborne infection,공기감염,공기매개감염,오답,-,,2,[],stop
1c,fistula of gallbladder,담낭루,담낭의 누공,오답,-,K82.3,3,[],stop
1c,cardiac murmur,심장 잡음,심잡음,오답,-,R01.1,2,[],stop
1c,laryngopharyngitis,후두인두염,후두인두염,정답(대표),exact,,1,[],stop
1c,gantry,개틀리,갠트리,오답,-,,1,[],stop
1c,hyperesophoria,상위사위,상내사위,오답,-,,1,[],stop
1c,multicystic renal dysplasia,다발성 낭종 신 이형성증,다낭성 신장의 형성이상,오답,-,Q61.4,3,[],stop
1c,conn adenoma,결장선종,콘 샘종,오답,-,,2,[],stop
1c,tinea manuum,손백선,손백선,정답(대표),exact,B35.2,2,[],stop
1c,functional enuresis,기능성 야뇨증,기능성 유뇨증,오답,-,F98.0,2,[],stop
1c,simple dressing,단순 드레싱,단순 처치,오답,-,,2,[],stop
1c,first responder,초기 대응자,일차반응자,오답,-,,2,[],stop
1c,abdominal wall strained,복벽염좌,배벽 긴장,오답,-,,3,[],stop
1c,activity grade,활동도,활동정도,오답,-,,2,[],stop
1c,goitrogenic,갑상선종유발성,갑상샘종유발물질-,오답,-,,1,[],stop
1c,myelodysplastic syndromes,골수이형성증후군,골수형성이상증후군,오답,-,D46,2,[],stop
1c,gorei-san,오레이산,오령산,오답,-,,1,[],stop
1c,gallium scan,갈륨 스캔,갈리움 스캔,오답,-,,2,[],stop
1c,blind fistula,맹루,막힌샛길,오답,-,,2,[],stop
1c,radioimmunoelectrophoresis,방사면역전기영동,방사면역전기이동(법),오답,-,,1,[],stop
1c,dilation of rectum,직장 확장,곧창자 확장,정답(동의어),exact,,3,[],stop
1c,exteroceptive stimulus,외자극,외수용자극,오답,-,,2,[],stop
1c,atlas-axis spinal fusion,환축-축추 척추 융합술,고리뼈-중쇠뼈 척추 유합,오답,-,,3,[],stop
1c,qrs widened,QRS 굵어짐,큐알에스(QRS) 넓힘,오답,-,,2,['bad_chars'],stop
1c,esterapenia,에스테라페니아,에스테라아제감소,오답,-,,1,[],stop
1c,major calyx,대신,큰콩팥잔,오답,-,,2,[],stop
1c,hodgkin disease,호지킨병,호지킨병,정답(대표),exact,,2,[],stop
1c,flushing,홍조,홍조,정답(대표),exact,R23.2,1,[],stop
1c,school childhood,학동기,학령기,오답,-,,2,[],stop
1c,abdominal palpable mass,복부 촉지종괴,복부 촉지성 종괴,오답,-,,3,[],stop
1c,di guglielmo's disease,디구글리엘모병,디구글리엘모병,정답(대표),exact,C94.0,3,[],stop
1c,jisil,지실,지실(志室),오답,-,,1,[],stop
1c,ascending arm venography,상완 정맥조영술,상지-상행적상지정맥,오답,-,,3,[],stop
1c,pa x-ray,흉부 X선,치근단 방사선촬영,오답,-,,2,['bad_chars'],stop
1c,developmental retardation child,발달지연아,발달 부진아,오답,-,,3,[],stop
1c,digit preference,숫자 선호,끝수선호,오답,-,,2,[],stop
1c,interferential action,간섭 작용,간섭작용,정답(대표),nospace,,2,[],stop
1c,vulvovaginal,외음질,음문질-,오답,-,,1,[],stop
1c,induced malaria,유발 말라리아,접종말라리아,오답,-,,2,[],stop
1c,interfascicular graft,束間移植,다발사이이식,오답,-,,2,[],stop
1c,oxyhydrocephalus,산수두증,뾰족물머리증,오답,-,,1,[],stop
1c,guinea pig,기니피그,기니피그,정답(대표),exact,,2,[],stop
1c,patent medicine,엣제,특허약,오답,-,,2,[],stop
1c,congruous field defect,합당한 시야결손,일치시야결손,오답,-,,3,[],stop
1c,peritoneocentesis,복막천자,복막천자,정답(대표),exact,,1,[],stop
1c,self-care deficit,자가간호 결핍,자가간호결핍,정답(대표),nospace,,2,[],stop
1c,autonomic bladder,자율방광,자율방광,정답(대표),exact,,2,[],stop
1c,dry arthritis,건성 관절염,건성관절염,정답(대표),nospace,,2,[],stop
1c,pharynx,인두,인두,정답(대표),exact,,1,[],stop
1c,volume elasticity coefficient,용적탄성계수,용적탄력률,오답,-,,3,[],stop
1c,inverse-ratio ventilation,역비환기,역비환기,정답(대표),exact,,2,[],stop
1c,cystitomy,낭종절개술,수정체낭절개(술),오답,-,,1,[],stop
1c,salicylamide,살리실아미드,살리실아마이드,오답,-,,1,[],stop
1c,hemoglobin c,헤모글로빈 C,헤모글로빈C,정답(대표),nospace,,2,['bad_chars'],stop
1c,z-plasty,Z-성형술,Z성형(술),오답,-,,1,['bad_chars'],stop
1c,rash purpuric,자반성 발진,자색반 발진,오답,-,,2,[],stop
1c,mamillitis,유두염,유두염,정답(대표),exact,,1,[],stop
1c,bird-shot chorioretinopathy,조류산탄맥락망막병증,산탄맥락망막병(증),오답,-,,2,[],stop
1c,diabetic coma,당혼수,당뇨 혼수,오답,-,,2,[],stop
1c,condensed chromatin,응축 염색질,농축염색질,오답,-,,2,[],stop
1c,genu valgum,슬개외반,외반슬,오답,-,M21.06,2,[],stop
1c,revision septoplasty,재수술 비중격성형술,교정 사이막성형술,오답,-,,2,[],stop
1c,naevus portwine,포도주색 모반,포도주색 모반,정답(대표),exact,Q82.5,2,[],stop
1c,glissade,활주,글리사드,오답,-,,1,[],stop
1c,psoas shadow,장요근 음영,허리근음영,오답,-,,2,[],stop
1c,splenectomy,비장절제술,비장절제,오답,-,,1,[],stop
1c,antimicrobial eye drop,항균성 안약,항균안약,오답,-,,3,[],stop
1c,salpingography and plasty,난관조영술 및 성형술,난관조영촬영 및 개통술,오답,-,,3,[],stop
1c,clostridium histolyticum,클로스트리디움 히스톨리티쿰,클로스트리듐히스톨리티쿰,오답,-,,2,[],stop
1c,anecdotal,일화적,증례서술적,정답(동의어),exact,,1,[],stop
1c,tumor-specific antigen,종양특이항원,종양특이항원,정답(대표),exact,,2,[],stop
1c,schistocephalus,구절두충,머리갈림태아,오답,-,,1,[],stop
1c,resecting fracture,절제 골절,깍임골절,정답(동의어),nospace,,2,[],stop
1c,epidermophyton,표피균,표피사상균(속),오답,-,,1,[],stop
1c,microlymphatic graft,미세림프이식편,미세림프절이식,오답,-,,2,[],stop
1c,cardiac pet-ct,심장 펫-ct,심장 양전자방출단층촬영술,오답,-,,2,['bad_chars'],stop
1c,multidrug resistance,다제내성,다약제내성,오답,-,,2,[],stop
1c,puerility,소아기,소아기,정답(대표),exact,,1,[],stop
1c,enteropathic arthritis,장병성 관절염,창자질환성 관절염,오답,-,,2,[],stop
1c,lobomycosis,로보미코증,로보진균증,오답,-,B48.0,1,[],stop
1c,lamblial dysentery,람블편모충성 이질,람블편모충이질,오답,-,,2,[],stop
1c,ladder splint,사다리 부목,사다리형덧대,오답,-,,2,[],stop
1c,radiostrontium,방사성 스트론튬,방사성스트론튬,정답(대표),nospace,,1,[],stop
1c,deuterium,중수소,중수소,정답(대표),exact,,1,[],stop
1c,deforming dorsopathies,변형성 등골병증,변형성 등병증,오답,-,M40-M43,2,[],stop
1c,nonoperculated egg,비편폐란,무난개충란,오답,-,,2,[],stop
1c,holy fire,화기,에르고트중독증,오답,-,,2,[],stop
1c,sclerosing retroperitonitis,경화성 후복막염,경화뒤배막염,오답,-,,2,[],stop
1c,bilaminar vitelline placenta,이층 난황 태반,두겹난황태반,오답,-,,3,[],stop
1c,dyskeratosis congenita,선천성 각화부전증,선천 이상각화증,오답,-,Q82.8,2,[],stop
1c,flax-dresser disease,아마포직업병,아마포착용자병,오답,-,J66.1,2,[],stop
1c,bryant's traction,브라이언트 견인,브리언트 당김,오답,-,,2,[],stop
1c,endemic disease,풍토병,풍토병,정답(대표),exact,,2,[],stop
1c,annular nucleus,고리핵,고리핵,정답(대표),exact,,2,[],stop
1c,pseudoptosis,가성안검하수,거짓눈꺼풀처짐,정답(동의어),exact,H02.48,1,[],stop
1c,throat pruritus,인후소양증,목구멍 가려움증,오답,-,,2,[],stop
1c,endoenteritis,장내막염,창자점막염,오답,-,,1,[],stop
1c,deep mycosis,심부 진균증,심재성 진균증,오답,-,B48.8,2,[],stop
1c,hydrometra,자궁수종,물자궁증,오답,-,N85.8,1,[],stop
1c,osteochondroma,골연골종,뼈연골종,정답(동의어),exact,,1,[],stop
1c,stratified randomization,층화무작위배정,층별무작위배정(법),오답,-,,2,[],stop
1c,corticobasal degeneration,피질기저핵变性,겉질기저 변성,오답,-,,2,[],stop
1c,heart rate variability,심박수 변동성,심박변이도,오답,-,,3,[],stop
1c,intromission,삽입,삽입,정답(대표),exact,,1,[],stop
1c,drug-induced,약물유발성,약물유발-,오답,-,,1,[],stop
1c,ossidesmosis,골유합,힘줄뼈되기,오답,-,,1,[],stop
1c,binaural,양이,양귀-,오답,-,,1,[],stop
1c,extrachromosomal inheritance,염색체외 유전,염색체외유전,정답(대표),nospace,,2,[],stop
1c,onychopathy,조갑질환,손발톱병(증),오답,-,,1,[],stop
1c,ionometer,이온계,이온화선량계,오답,-,,1,[],stop
1c,double-barreled aorta,이중대동맥관,이중관대동맥,오답,-,,2,[],stop
1c,lipomelanotic reticulosis,지방흑색소성 망상증,지방흑색증성 세망증,오답,-,I89.8,2,[],stop
1c,muscle twitch,근육 경련,근육 경련,정답(대표),exact,,2,[],stop
1c,psychosocial development,정신사회발달,정신사회발달,정답(대표),exact,,2,[],stop
1c,ulcerlike nud,궤양성 결절,궤양성 비궤양성 소화불량,오답,-,K30,2,[],stop
1c,nodular fasciitis,결절성 근막염,결절 근막염,오답,-,M72.4,2,[],stop
1c,homogeneous,균질성,균일,오답,-,,1,[],stop
1c,altered uterine contractions,자궁수축 이상,자궁수축 변화,오답,-,,3,[],stop
1c,pyrexia during labour,분만 중 발열,출산중 발열,오답,-,O75.2,3,[],stop
1c,a/s capsulectomy,전방/상방 낭종절제술,관절경적 피막절제술,오답,-,,2,[],stop
1c,superexcitation,과흥분,과도흥분,오답,-,,1,[],stop
1c,bony excrescence,골성 돌기,뼈이상돌출,오답,-,,2,[],stop
1c,coupling color,결합색,커플링염료,오답,-,,2,[],stop
1c,phlebitis and thrombophlebitis,정맥염 및 혈전성 정맥염,정맥염 및 혈전정맥염,오답,-,I80,3,[],stop
1c,breath holding spell,호흡 정지 발작,숨참기발작,오답,-,R06.8,3,[],stop
1c,extroverted personality,외향적 성격,외향인격,오답,-,,2,[],stop
1c,enterotoxin,장독소,창자독소,정답(동의어),exact,,1,[],stop
